Trace
Swept SA
A.12.09,N9030A
550 B25 DP2 EP1 EXM FSA LFE NFE NUL PFR RTL ,01
Segment,0
Number of Points,1001
Sweep Time,0.001
Start Frequency,5280000000
Stop Frequency,5340000000
Average Count,0
Average Type,LogPower(Video)
RBW,560000
RBW Filter,Gaussian
RBW Filter BW,3dB
VBW,560000
Sweep Type,Swept
X Axis Scale,Lin
PreAmp State,Off
PreAmp Band,Low
Trigger Source,Free
Trigger Level,1.2
Trigger Slope,Positive
Trigger Delay,0
Phase Noise Optimization,Fast
Swept If Gain,Low
FFT If Gain,Autorange
RF Coupling,DC
FFT Width,411900
Ext Ref,10000000
Input,RF
RF Calibrator,Off
Attenuation,6
Ref Level Offset,0
External Gain,0
Trace Type,Average
Detector,Sample
Trace Math,Off
Trace Math Oper1,Trace5
Trace Math Oper2,Trace6
Trace Math Offset,0
Trace Name,Trace1
X Axis Units,Hz
Y Axis Units,dBm
DATA
5280000000,-88.0800530005651
5280060000,-88.5083976441869
5280120000,-87.4249420185487
5280180000,-88.0369948181895
5280240000,-88.2748896718308
5280300000,-87.9394747616116
5280360000,-88.2771344748356
5280420000,-87.1847825390809
5280480000,-87.4844989975919
5280540000,-87.5561351622624
5280600000,-86.9944206684109
5280660000,-88.2935108006119
5280720000,-87.7187707720559
5280780000,-88.660699529934
5280840000,-87.762499097205
5280900000,-88.0199290962466
5280960000,-87.8882980941125
5281020000,-88.3515766975921
5281080000,-88.4397777596508
5281140000,-88.2713357901799
5281200000,-88.061284010002
5281260000,-87.9567643634482
5281320000,-87.570341307884
5281380000,-87.9052168448065
5281440000,-88.3405285519244
5281500000,-88.74151133527
5281560000,-87.7427647313147
5281620000,-88.5940312940227
5281680000,-88.4363585758345
5281740000,-87.9416260849234
5281800000,-87.7252005679461
5281860000,-88.4328238637873
5281920000,-87.5066956158853
5281980000,-88.0172057109642
5282040000,-87.6247047638865
5282100000,-88.3840972197685
5282160000,-88.6871993424624
5282220000,-87.6256942270796
5282280000,-87.7976714442287
5282340000,-87.4571623665342
5282400000,-87.4169083132788
5282460000,-86.8753286098449
5282520000,-87.2414692632603
5282580000,-87.4972939051683
5282640000,-87.4317197922376
5282700000,-88.7396998545902
5282760000,-87.5545194083885
5282820000,-87.871778271062
5282880000,-87.2594907731048
5282940000,-87.6833905742106
5283000000,-87.857722985256
5283060000,-88.2392466681607
5283120000,-88.1802499360942
5283180000,-88.104021758938
5283240000,-88.5969667553638
5283300000,-87.4937226875098
5283360000,-87.7104865843617
5283420000,-87.3053481790986
5283480000,-87.8699001892706
5283540000,-88.1719320900247
5283600000,-87.7045077734417
5283660000,-87.9634174698115
5283720000,-88.3422685276842
5283780000,-87.9794982994712
5283840000,-88.2594393921935
5283900000,-87.5843243272726
5283960000,-88.0844371596161
5284020000,-88.1645973971657
5284080000,-88.2550043453636
5284140000,-88.4446347118631
5284200000,-87.9117861129895
5284260000,-87.3795171949052
5284320000,-87.8352739819752
5284380000,-87.2048192567677
5284440000,-87.4385588736144
5284500000,-87.7442339130546
5284560000,-87.8448934743917
5284620000,-88.1639870280028
5284680000,-87.7722327449511
5284740000,-87.2447857293977
5284800000,-87.4656623962827
5284860000,-88.1507449634137
5284920000,-87.5250841513667
5284980000,-87.7789846721843
5285040000,-87.0904372538615
5285100000,-87.8694678955825
5285160000,-88.3498315592329
5285220000,-87.9702699839657
5285280000,-88.2126812186769
5285340000,-88.1048977208762
5285400000,-87.0909806506964
5285460000,-87.3086700750764
5285520000,-87.9271003711028
5285580000,-88.2436829235775
5285640000,-88.3195695114803
5285700000,-88.2508701169149
5285760000,-87.4588867500343
5285820000,-87.8979661157827
5285880000,-88.1012064693916
5285940000,-87.9132024439869
5286000000,-88.4760695861699
5286060000,-87.6793003030492
5286120000,-87.208903274008
5286180000,-87.5552395487444
5286240000,-88.1879122519977
5286300000,-87.1959384534235
5286360000,-86.9169920263213
5286420000,-88.0273792326541
5286480000,-87.53157547956
5286540000,-87.7709879276772
5286600000,-87.8134307412773
5286660000,-87.4128523269833
5286720000,-86.8749935390708
5286780000,-87.3858621338005
5286840000,-87.5558346942391
5286900000,-87.6336538203521
5286960000,-87.8967860477292
5287020000,-88.0828054447365
5287080000,-87.7958146829237
5287140000,-88.3562881652572
5287200000,-87.2520628626621
5287260000,-87.9758582438178
5287320000,-87.5162263812245
5287380000,-87.909535725601
5287440000,-88.0470657544841
5287500000,-87.9120595426859
5287560000,-87.7788674009106
5287620000,-87.4823086737691
5287680000,-87.6598801693342
5287740000,-87.6041884454471
5287800000,-87.9951449121156
5287860000,-86.7109335126808
5287920000,-87.4396816541484
5287980000,-86.9912028935161
5288040000,-87.170528577468
5288100000,-87.1433073340891
5288160000,-86.9642025203837
5288220000,-87.2736573733115
5288280000,-87.3230555567302
5288340000,-87.749796453256
5288400000,-87.1929827503291
5288460000,-87.3086006062654
5288520000,-87.5263508117013
5288580000,-88.0822453678876
5288640000,-87.9719580310889
5288700000,-87.3447693794964
5288760000,-86.9482619668852
5288820000,-87.0056928397819
5288880000,-87.1406751907525
5288940000,-87.1907873727016
5289000000,-87.322685403364
5289060000,-86.9195518063138
5289120000,-86.4927909537225
5289180000,-87.1349729661013
5289240000,-86.6149772355759
5289300000,-87.139547187986
5289360000,-87.5526270738104
5289420000,-87.5334429164839
5289480000,-87.4639378829517
5289540000,-87.4164691649715
5289600000,-87.1592892054844
5289660000,-87.0325640069485
5289720000,-86.6285758616525
5289780000,-86.7137568564407
5289840000,-86.1308645726774
5289900000,-86.5525047559579
5289960000,-86.5406071882271
5290020000,-86.5733450613745
5290080000,-86.6398887734331
5290140000,-86.2551896878484
5290200000,-86.403504724625
5290260000,-85.925715747069
5290320000,-85.9517869448458
5290380000,-86.6423957442599
5290440000,-85.7309283884386
5290500000,-86.0846151877036
5290560000,-85.7451750698185
5290620000,-86.7777142520778
5290680000,-85.7095984918627
5290740000,-85.6208377054888
5290800000,-85.7730079906034
5290860000,-87.0477777621508
5290920000,-85.9521779841646
5290980000,-86.5998427355723
5291040000,-86.5221256566688
5291100000,-85.9011037931256
5291160000,-85.9250475726749
5291220000,-86.1368590409787
5291280000,-86.2206645396198
5291340000,-86.7612775984573
5291400000,-85.9026206330937
5291460000,-85.0825364574428
5291520000,-86.2399617996892
5291580000,-85.0337383333512
5291640000,-85.7246827467468
5291700000,-85.4656453382772
5291760000,-85.7532527597193
5291820000,-86.1888558670911
5291880000,-85.4816077232147
5291940000,-84.8058020735933
5292000000,-85.097169051747
5292060000,-85.8598087884848
5292120000,-84.7693975353697
5292180000,-85.2849615469247
5292240000,-84.9419548011455
5292300000,-84.9224232603061
5292360000,-84.8786448592719
5292420000,-85.113862519471
5292480000,-84.701075844437
5292540000,-84.5041993884286
5292600000,-85.0069968401583
5292660000,-85.0772028624899
5292720000,-84.763006325175
5292780000,-84.5283466924105
5292840000,-84.2867339499292
5292900000,-84.1809525504119
5292960000,-83.9798212307929
5293020000,-83.9880628329506
5293080000,-83.885475216074
5293140000,-83.6822818519407
5293200000,-84.1881605815346
5293260000,-83.7770838862191
5293320000,-84.4072116632548
5293380000,-84.0055910387533
5293440000,-83.6247248009683
5293500000,-83.8244831903654
5293560000,-83.9360491360427
5293620000,-84.1069028603619
5293680000,-83.4090253714884
5293740000,-83.3675152902049
5293800000,-83.5099237459304
5293860000,-83.9188597496704
5293920000,-83.0035273508968
5293980000,-82.8818274701266
5294040000,-83.9946200375221
5294100000,-83.5285424839646
5294160000,-82.5510730346622
5294220000,-83.0318989236534
5294280000,-83.3163480558495
5294340000,-83.0348438327828
5294400000,-84.2245541963831
5294460000,-82.4547868635864
5294520000,-83.0895988864771
5294580000,-82.9852379758802
5294640000,-82.7383857077963
5294700000,-81.8673468513954
5294760000,-82.226536155013
5294820000,-81.6552814628576
5294880000,-82.653377529898
5294940000,-82.4204446416038
5295000000,-81.4354776405866
5295060000,-81.1068216568176
5295120000,-81.2214843152237
5295180000,-80.9370191548083
5295240000,-81.3161842107103
5295300000,-80.6627923888838
5295360000,-80.9135647514927
5295420000,-79.7894450194358
5295480000,-81.2441901622339
5295540000,-79.9631999457684
5295600000,-80.593093542593
5295660000,-80.722229408155
5295720000,-80.2015813082909
5295780000,-79.9865823259507
5295840000,-79.0438298140096
5295900000,-79.3513641992972
5295960000,-78.6007657780555
5296020000,-78.4412494166351
5296080000,-78.5860715159539
5296140000,-78.5999779029741
5296200000,-77.8211858369522
5296260000,-76.9394195779668
5296320000,-78.0668099832384
5296380000,-77.2591122884918
5296440000,-76.3122842809782
5296500000,-76.002296732443
5296560000,-76.6167169385699
5296620000,-76.7911539795252
5296680000,-76.0979437483622
5296740000,-75.5960053495628
5296800000,-75.596732936199
5296860000,-74.6387335873605
5296920000,-74.9731638910348
5296980000,-74.4983791125837
5297040000,-73.6338913780904
5297100000,-73.7798897826694
5297160000,-73.0894778521894
5297220000,-71.8000196164389
5297280000,-71.5641505986422
5297340000,-71.9062336685043
5297400000,-71.0028420735313
5297460000,-70.4297946133602
5297520000,-70.0135788436535
5297580000,-69.7507391882647
5297640000,-69.1015126704716
5297700000,-69.0214494856145
5297760000,-68.2583987096341
5297820000,-67.9263032726441
5297880000,-67.2584364644233
5297940000,-67.0129890407487
5298000000,-66.0406129728818
5298060000,-65.879624386387
5298120000,-65.6236897719763
5298180000,-65.4447600906553
5298240000,-64.2171900586135
5298300000,-63.7342547258794
5298360000,-64.0958131305425
5298420000,-62.8324052251262
5298480000,-62.4408036919504
5298540000,-62.0455989656487
5298600000,-61.6080664293116
5298660000,-61.5042485515377
5298720000,-60.9030822795078
5298780000,-59.7503351740141
5298840000,-60.7603724852194
5298900000,-59.5077136780176
5298960000,-59.2958668598811
5299020000,-58.5189393444043
5299080000,-59.0660397714161
5299140000,-59.2003572519489
5299200000,-58.1265637066885
5299260000,-58.1239783981998
5299320000,-57.9127640201118
5299380000,-57.789885084727
5299440000,-57.5603437502786
5299500000,-58.1420575718678
5299560000,-57.3662439005245
5299620000,-57.3250462827892
5299680000,-56.749250795474
5299740000,-57.5830831044963
5299800000,-57.2353094795425
5299860000,-58.2053625984614
5299920000,-57.2753797652613
5299980000,-57.3180799193875
5300040000,-57.0794301393711
5300100000,-57.6573632038482
5300160000,-57.589310126835
5300220000,-56.99160931287
5300280000,-56.8279762247779
5300340000,-57.0240581394286
5300400000,-57.0548012087205
5300460000,-57.0661258534079
5300520000,-56.0721225045858
5300580000,-56.4916582013834
5300640000,-56.520494793073
5300700000,-57.3021922476766
5300760000,-56.5926091871466
5300820000,-56.5964047155299
5300880000,-56.0569031971137
5300940000,-56.6150763037657
5301000000,-56.6676736705464
5301060000,-56.7964556804992
5301120000,-56.0494463365815
5301180000,-56.2358529817264
5301240000,-55.7014781307095
5301300000,-56.6296422772902
5301360000,-56.0635081093335
5301420000,-56.9496198207649
5301480000,-56.7844225222583
5301540000,-56.5056372468561
5301600000,-56.6849049358937
5301660000,-56.6515707014048
5301720000,-57.7339081002665
5301780000,-56.7857114704983
5301840000,-56.1124519202853
5301900000,-55.9657691611549
5301960000,-55.9728573864678
5302020000,-55.612547645545
5302080000,-55.7723235640072
5302140000,-55.569694239646
5302200000,-55.0035717569665
5302260000,-55.694179038753
5302320000,-55.6764073133557
5302380000,-55.5847488610593
5302440000,-55.2129240000385
5302500000,-54.8527492369513
5302560000,-55.2171521059677
5302620000,-55.2316018911537
5302680000,-56.0027049732736
5302740000,-56.4132201701523
5302800000,-55.3021564903408
5302860000,-55.6153170761435
5302920000,-54.9396930036315
5302980000,-54.9500424338574
5303040000,-55.0385014611318
5303100000,-54.841735743748
5303160000,-54.8599548899437
5303220000,-55.0088172070006
5303280000,-55.4012819881984
5303340000,-55.2155843922537
5303400000,-55.9018485253755
5303460000,-55.1629917520771
5303520000,-55.5705920906975
5303580000,-54.6632235855791
5303640000,-54.0981732488354
5303700000,-55.2225171031874
5303760000,-54.7689794755794
5303820000,-54.2103636789146
5303880000,-54.9819612376629
5303940000,-54.141154623148
5304000000,-54.5382511989209
5304060000,-54.3094157007697
5304120000,-54.1176094347164
5304180000,-54.360432540711
5304240000,-53.7790554027489
5304300000,-53.9549094418669
5304360000,-54.1696057527327
5304420000,-54.4144790054335
5304480000,-53.9966937315618
5304540000,-54.078648482884
5304600000,-54.1953809046307
5304660000,-54.5329405751384
5304720000,-53.49811493824
5304780000,-53.630993336462
5304840000,-53.7351999359934
5304900000,-54.067835749812
5304960000,-54.0562248063727
5305020000,-54.4189698494697
5305080000,-54.0190410322362
5305140000,-54.2877524197774
5305200000,-54.3364096671055
5305260000,-54.1019383888544
5305320000,-54.2326019432417
5305380000,-54.714659928735
5305440000,-54.361347138975
5305500000,-53.9343525359963
5305560000,-54.4597707514484
5305620000,-54.3082435998572
5305680000,-54.6678978769654
5305740000,-54.4775186070207
5305800000,-54.5180728009062
5305860000,-54.8989053243069
5305920000,-54.478226189719
5305980000,-54.6284755269382
5306040000,-54.2601810672353
5306100000,-53.7822121653757
5306160000,-53.150905796976
5306220000,-53.811007582111
5306280000,-53.9144707372042
5306340000,-54.0700591717279
5306400000,-53.7635866851327
5306460000,-54.1550522889654
5306520000,-53.6858064537687
5306580000,-54.4374247628662
5306640000,-53.6850483964405
5306700000,-53.6540950709179
5306760000,-53.6642954163641
5306820000,-54.1020086708537
5306880000,-53.4272683480035
5306940000,-52.9397629835067
5307000000,-53.6978281806051
5307060000,-54.3561777473413
5307120000,-53.3088028380805
5307180000,-53.9176528027907
5307240000,-53.411676891744
5307300000,-52.6910948310148
5307360000,-52.7489003956611
5307420000,-53.3540288846255
5307480000,-53.8855640592944
5307540000,-53.4329075016338
5307600000,-53.0089783242177
5307660000,-53.614862166113
5307720000,-53.1391360689399
5307780000,-52.9464098772671
5307840000,-52.9215613333696
5307900000,-52.7490710403262
5307960000,-53.1289884985049
5308020000,-53.4262965463934
5308080000,-52.3534428817059
5308140000,-52.0403310042699
5308200000,-51.8619298374614
5308260000,-52.7399850152593
5308320000,-52.5173421481166
5308380000,-52.3400617839131
5308440000,-53.0634228779779
5308500000,-52.449137240333
5308560000,-52.6998661756635
5308620000,-53.2195830573574
5308680000,-52.4554497001202
5308740000,-53.3772933442824
5308800000,-52.3734539412045
5308860000,-53.4591547111597
5308920000,-52.1661587332967
5308980000,-52.4719089557684
5309040000,-51.9118240777167
5309100000,-52.7749108815428
5309160000,-52.5899339607869
5309220000,-52.2596346588543
5309280000,-51.8738813160583
5309340000,-51.8591826200975
5309400000,-53.1456956257342
5309460000,-52.458276383473
5309520000,-52.1387931949876
5309580000,-51.9703793202845
5309640000,-52.6041405332723
5309700000,-52.3951722080847
5309760000,-52.5192191633135
5309820000,-52.3825466118664
5309880000,-52.4524148790607
5309940000,-51.7804211495415
5310000000,-52.2312170953086
5310060000,-52.1342733875589
5310120000,-51.9130908529085
5310180000,-52.8210187476998
5310240000,-52.9489848147696
5310300000,-52.5020671528993
5310360000,-51.7675033773572
5310420000,-52.4567681161893
5310480000,-52.5007363594616
5310540000,-53.7027686604322
5310600000,-53.1640335815787
5310660000,-52.3101048347606
5310720000,-52.0987822967649
5310780000,-51.8272125259762
5310840000,-52.4359809919319
5310900000,-53.0860187868589
5310960000,-53.6389510556424
5311020000,-52.3213600114427
5311080000,-53.0302694974466
5311140000,-53.3448463948425
5311200000,-52.5185951102835
5311260000,-52.6479188657123
5311320000,-52.5934548997036
5311380000,-53.1170826285848
5311440000,-52.8472174228366
5311500000,-52.4890956284176
5311560000,-53.3554680340649
5311620000,-52.73250337525
5311680000,-53.0694190137113
5311740000,-53.1305105157204
5311800000,-53.0927447397517
5311860000,-53.5906215032878
5311920000,-54.1416567294076
5311980000,-53.8943632932435
5312040000,-53.4219460171103
5312100000,-53.6417791559208
5312160000,-52.8460749023543
5312220000,-53.5128074932382
5312280000,-53.8766320505404
5312340000,-53.7325157977555
5312400000,-53.6530835699452
5312460000,-52.995746689078
5312520000,-52.3050970071109
5312580000,-53.1586696130179
5312640000,-53.8500446807965
5312700000,-53.3440607627591
5312760000,-53.406028219656
5312820000,-53.7636585018716
5312880000,-53.1906224168984
5312940000,-53.1819628609315
5313000000,-52.9563012245321
5313060000,-54.5542657262629
5313120000,-54.2292893897154
5313180000,-54.1236134425694
5313240000,-54.0229796957965
5313300000,-53.8987306668568
5313360000,-53.8663847515905
5313420000,-53.7432807355261
5313480000,-53.9372401483103
5313540000,-54.5203801671892
5313600000,-54.5974123921686
5313660000,-54.0734249511145
5313720000,-54.4962914190492
5313780000,-54.5648660960144
5313840000,-54.9007283761123
5313900000,-54.8487952603101
5313960000,-54.1960535225999
5314020000,-54.8919367779917
5314080000,-55.1794073578675
5314140000,-54.6758324955705
5314200000,-55.0883795945059
5314260000,-54.6102569207365
5314320000,-54.8662203617082
5314380000,-56.0759214960127
5314440000,-55.2487970809903
5314500000,-55.0103494753528
5314560000,-54.757956133691
5314620000,-55.0376679177182
5314680000,-55.6272846272816
5314740000,-55.6275229151662
5314800000,-55.4511803887639
5314860000,-55.7615185286645
5314920000,-55.6611206112346
5314980000,-55.3164716688566
5315040000,-55.7192875440031
5315100000,-56.051759600528
5315160000,-56.1544316765221
5315220000,-56.0554294687414
5315280000,-55.6791753215273
5315340000,-56.4413704908771
5315400000,-57.2379032213133
5315460000,-56.8526795297453
5315520000,-56.5166483634854
5315580000,-56.5669243491889
5315640000,-56.6704330451742
5315700000,-56.8170720482638
5315760000,-56.5893175921814
5315820000,-56.8812509626406
5315880000,-56.6730321939446
5315940000,-57.6723534588244
5316000000,-56.907833265728
5316060000,-57.8300338429743
5316120000,-56.6399292302339
5316180000,-56.6191527791237
5316240000,-56.7725281920986
5316300000,-57.4882084160085
5316360000,-57.6599981039572
5316420000,-58.5749312573224
5316480000,-57.977957288133
5316540000,-57.5789266739087
5316600000,-57.7756798715258
5316660000,-58.2562370357813
5316720000,-57.9477283754603
5316780000,-58.3556885500788
5316840000,-59.1713622341585
5316900000,-59.0566888925011
5316960000,-58.9022706869486
5317020000,-59.5532111895894
5317080000,-59.5016447684376
5317140000,-59.8643118353657
5317200000,-59.3323100287809
5317260000,-59.1775280872891
5317320000,-59.9483767124308
5317380000,-59.9892298077635
5317440000,-59.0033687888959
5317500000,-59.894066442575
5317560000,-59.5972764550621
5317620000,-60.5103357620091
5317680000,-59.8352940531796
5317740000,-60.1366481049267
5317800000,-60.7514294131251
5317860000,-61.3453061993943
5317920000,-61.5368592487631
5317980000,-60.3217828925799
5318040000,-59.7826903294566
5318100000,-60.3535336836312
5318160000,-60.4334051228762
5318220000,-60.8582411815803
5318280000,-61.2507073572151
5318340000,-60.80679888933
5318400000,-60.764450860335
5318460000,-61.3624773701967
5318520000,-61.2936229560996
5318580000,-62.1783605422341
5318640000,-61.4513013319592
5318700000,-60.6143195529732
5318760000,-60.9721705012107
5318820000,-60.4057641274829
5318880000,-61.3954644624515
5318940000,-61.0728991194739
5319000000,-60.8428722022521
5319060000,-60.9894010143407
5319120000,-61.5732101499975
5319180000,-62.1790111884323
5319240000,-61.2623056084613
5319300000,-61.6852780483968
5319360000,-61.9581054373767
5319420000,-60.8645162241882
5319480000,-61.4284317865579
5319540000,-61.0101203089689
5319600000,-61.0523486658633
5319660000,-61.0286659505698
5319720000,-62.0336929462848
5319780000,-60.7264042211288
5319840000,-61.4204525639305
5319900000,-60.6665178928659
5319960000,-61.4710220935547
5320020000,-61.1475216428084
5320080000,-60.7928891478764
5320140000,-60.9396867569059
5320200000,-60.8381233585129
5320260000,-61.6893800603162
5320320000,-60.7850861783459
5320380000,-61.0029052048773
5320440000,-60.7223588459492
5320500000,-60.9168033655684
5320560000,-61.213679408024
5320620000,-62.1209837603981
5320680000,-61.72157476241
5320740000,-61.8613848361127
5320800000,-62.0866245588413
5320860000,-61.5073834129036
5320920000,-62.1766630520618
5320980000,-63.2794934936983
5321040000,-63.5566265874071
5321100000,-62.698490232213
5321160000,-62.3074020084959
5321220000,-62.349352362989
5321280000,-63.0511032004665
5321340000,-63.6861952433246
5321400000,-63.2995654110507
5321460000,-63.8373550052252
5321520000,-64.9425237518458
5321580000,-64.5020636627086
5321640000,-65.3621189425294
5321700000,-65.6955216337011
5321760000,-66.1993019143671
5321820000,-66.2123617132015
5321880000,-66.9250905236798
5321940000,-66.7384086782589
5322000000,-67.5549753457396
5322060000,-67.8837815061134
5322120000,-68.4084022255605
5322180000,-69.3030752383642
5322240000,-68.9395029883285
5322300000,-69.8349994182387
5322360000,-70.2802281600182
5322420000,-70.5545649805307
5322480000,-70.8316733872626
5322540000,-70.5339763486412
5322600000,-70.6954897604379
5322660000,-71.8963261743867
5322720000,-72.2531270108515
5322780000,-73.0830801197044
5322840000,-74.2254255622976
5322900000,-75.1089982792183
5322960000,-73.8101237707266
5323020000,-74.7053302862864
5323080000,-75.399365855908
5323140000,-76.0944522100729
5323200000,-76.4697626367837
5323260000,-76.0321186390127
5323320000,-77.0413399150102
5323380000,-78.312784426439
5323440000,-78.4368482950691
5323500000,-77.7002139289123
5323560000,-78.3029649015301
5323620000,-78.0332304822041
5323680000,-78.1860595897485
5323740000,-78.9382368932784
5323800000,-79.4699086374003
5323860000,-79.2475899985661
5323920000,-79.5791457880568
5323980000,-79.8825507778239
5324040000,-80.4584865232633
5324100000,-80.5661805786967
5324160000,-80.6387263873048
5324220000,-80.6426597166735
5324280000,-81.2348963841224
5324340000,-82.0650763120771
5324400000,-82.2952268225675
5324460000,-81.8648513849649
5324520000,-82.1503376833693
5324580000,-83.0801421857064
5324640000,-82.6874242533376
5324700000,-83.4153086866505
5324760000,-83.1951261491639
5324820000,-83.2011624839372
5324880000,-83.9585624003405
5324940000,-83.4096892265985
5325000000,-83.7137159816829
5325060000,-84.1513242819043
5325120000,-84.631841166537
5325180000,-84.531837352837
5325240000,-85.6260973777101
5325300000,-84.7847927830871
5325360000,-85.1805872632903
5325420000,-85.45305836912
5325480000,-85.5234036387038
5325540000,-84.8868762745819
5325600000,-85.781283041187
5325660000,-86.1082619503857
5325720000,-85.3597510635298
5325780000,-86.3917100556732
5325840000,-86.4780596612786
5325900000,-87.2358324009324
5325960000,-87.1208842403159
5326020000,-86.6685809326094
5326080000,-86.7879950000609
5326140000,-86.2440065490328
5326200000,-86.7078124452926
5326260000,-86.3121257619342
5326320000,-86.2279666576924
5326380000,-87.4763307793355
5326440000,-87.4821318930502
5326500000,-87.1141607427229
5326560000,-88.2537588428648
5326620000,-87.6728931282948
5326680000,-87.4038970717236
5326740000,-87.0880830186795
5326800000,-86.9513750730882
5326860000,-87.3904240918534
5326920000,-87.2480990137521
5326980000,-87.6729058968109
5327040000,-87.7300317946712
5327100000,-87.6612724870465
5327160000,-87.3585127160869
5327220000,-88.1598734243219
5327280000,-89.0684080061135
5327340000,-88.712532347222
5327400000,-88.2256280546253
5327460000,-87.4924361170243
5327520000,-87.819465740716
5327580000,-87.7295796210658
5327640000,-87.7294662602986
5327700000,-88.154701779188
5327760000,-87.969933113785
5327820000,-87.7639640709796
5327880000,-88.2728742788739
5327940000,-88.0086209805731
5328000000,-88.092102483493
5328060000,-88.4688763106805
5328120000,-88.0796025855133
5328180000,-87.2421994972662
5328240000,-86.901572036111
5328300000,-87.3371427738419
5328360000,-88.3737429517329
5328420000,-88.0235719458256
5328480000,-88.3414084797972
5328540000,-87.9934880721481
5328600000,-88.2782826275778
5328660000,-88.2597854221444
5328720000,-88.0953251678141
5328780000,-88.3904299078512
5328840000,-87.9260933735145
5328900000,-88.2215211221744
5328960000,-88.3116343952706
5329020000,-87.7790692156654
5329080000,-87.8170165023709
5329140000,-87.7992041140016
5329200000,-88.2623375578766
5329260000,-88.6744481326059
5329320000,-88.0335558093237
5329380000,-88.0637403675221
5329440000,-88.4631551582894
5329500000,-88.1389196495873
5329560000,-89.31880999129
5329620000,-88.3309215934798
5329680000,-89.0761824560905
5329740000,-87.6390793153895
5329800000,-87.699111532393
5329860000,-87.8213346927715
5329920000,-88.8668653277444
5329980000,-88.4787765173247
5330040000,-88.7264642748509
5330100000,-88.0050776457349
5330160000,-87.7972900550229
5330220000,-88.435260320252
5330280000,-88.6234729250475
5330340000,-88.4396825251485
5330400000,-87.4321500949075
5330460000,-88.4313966864188
5330520000,-88.6667841013556
5330580000,-88.7703436103373
5330640000,-88.7349824434343
5330700000,-88.54660583374
5330760000,-88.2784656389137
5330820000,-87.8151701333282
5330880000,-88.2586826699304
5330940000,-87.6538639208119
5331000000,-87.9272953327199
5331060000,-88.7330836147611
5331120000,-88.7420145999465
5331180000,-88.5050593542123
5331240000,-88.6034362464038
5331300000,-88.7552444547123
5331360000,-88.7314158610509
5331420000,-88.0355209147021
5331480000,-88.5579863315109
5331540000,-88.6662097034853
5331600000,-88.4806807299626
5331660000,-88.4891781591442
5331720000,-88.9968463889651
5331780000,-88.02229910337
5331840000,-88.3646729790937
5331900000,-88.3187735933236
5331960000,-88.4006800522529
5332020000,-88.3490396991612
5332080000,-88.1674325627262
